keys,fr,en
"Ce qui ne tue pas ronge quand même.","Ce qui ne tue pas ronge quand même.","What doesn't kill still gnaws."
"Respir Qui Change Tout","Respir Qui Change Tout","The Breath That Changes Everything"
"Inflige 1 dégât à tous les serviteurs en jeu.
Les Abominations alliées touchées mutent à la place de perdre des points de vie.","Inflige 1 dégât à tous les serviteurs en jeu.
Les Abominations alliées touchées mutent à la place de perdre des points de vie.","Deal 1 damage to all minions in play.
Allied Abominations hit mutate instead of losing HP."
"Même tes alliés changent, un peu, à chaque respiration.","Même tes alliés changent, un peu, à chaque respiration.","Even your allies change, a little, with every breath."
"Rituel du Ventre Qui Prend Tout","Rituel du Ventre Qui Prend Tout","All-Devouring Ritual"
"Sacrifice 1 : Piochez 1 carte.
Votre héros regagne des points de vie.","Sacrifice 1 : Piochez 1 carte.
Votre héros regagne des points de vie.","Sacrifice 1: Draw 1 card.
Your hero regains HP."
"Rien ne se perd vraiment. Tout se redistribue, même à toi.","Rien ne se perd vraiment. Tout se redistribue, même à toi.","Nothing is ever truly lost. It all gets redistributed, even to you."
"Puits Qui Avale Tout","Puits Qui Avale Tout","The All-Swallowing Well"
"Dévoration : Gagne 1 mana temporaire ce tour (une seule fois par tour).","Dévoration : Gagne 1 mana temporaire ce tour (une seule fois par tour).","Devour: Gain 1 temporary mana this turn (once per turn)."
"Tout ce qui meurt ici finit par nourrir autre chose.","Tout ce qui meurt ici finit par nourrir autre chose.","Everything that dies here ends up feeding something else."
"Ce Qu'on a Laissé Pousser","Ce Qu'on a Laissé Pousser","What We Allowed to Grow"
"Deuil : Invoque 2 Abominations aléatoires de coût ≤3.
Elles mutent immédiatement.","Deuil : Invoque 2 Abominations aléatoires de coût ≤3.
Elles mutent immédiatement.","Mourning: Summon 2 random Abominations of cost ≤3.
They immediately mutate."
"On l'a érigé pour se souvenir des disparus. Il préfère les remplacer.","On l'a érigé pour se souvenir des disparus. Il préfère les remplacer.","It was built to remember the lost. It prefers to replace them."
"Éclat d'Anomalie","Éclat d'Anomalie","Anomaly Shard"
"Ajoute 1 Éclat à votre réserve. Vous ne pouvez jouer qu'une ressource par tour.","Ajoute 1 Éclat à votre réserve. Vous ne pouvez jouer qu'une ressource par tour.","Add 1 Shard to your reserve. You can only play one resource per turn."
"Ça continue de battre, même détaché de tout le reste.","Ça continue de battre, même détaché de tout le reste.","It keeps beating, even detached from everything else."
"Signe Qui Répond","Signe Qui Répond","The Answering Sign"
"Piochez 1 carte.
Si c'est une Abomination, elle coûte 1 de moins ce tour.","Piochez 1 carte.
Si c'est une Abomination, elle coûte 1 de moins ce tour.","Draw 1 card.
If it's an Abomination, it costs 1 less this turn."
"Il désigne. Quelque chose répond, déjà changé.","Il désigne. Quelque chose répond, déjà changé.","It points. Something answers, already changed."
"La Faim Cuirassée","La Faim Cuirassée","Armored Hunger"
"RAVAGE, ASSIMILATION","RAVAGE, ASSIMILATION","RAVAGE, ASSIMILATION"
"Chaque mort autour d'elle l'épaissit un peu plus.","Chaque mort autour d'elle l'épaissit un peu plus.","Every death around it thickens it a little more."
"Semence Amère","Semence Amère","Bitter Seed"
"VIRULENT","VIRULENT","VIRULENT"
"Elle n'attend pas d'être plantée. Elle éclate là où elle tombe.","Elle n'attend pas d'être plantée. Elle éclate là où elle tombe.","It doesn't wait to be planted. It bursts wherever it falls."
"Visage-Encore-Flou","Visage-Encore-Flou","Still-Unformed-Face"
"FUSION","FUSION","FUSION"
"Il essaie plusieurs expressions. Aucune ne lui va tout à fait.","Il essaie plusieurs expressions. Aucune ne lui va tout à fait.","It tries on several expressions. None quite fits."
"Cœur Sans Corps","Cœur Sans Corps","Heart Without Body"
"ASSIMILATION","ASSIMILATION","ASSIMILATION"
"Il bat pour quelque chose qui n'existe plus.","Il bat pour quelque chose qui n'existe plus.","It beats for something that no longer exists."
"Lien Sans Membrane","Lien Sans Membrane","Bond Without Membrane"
"Présence : Vos serviteurs en rangée Arrière gagnent +0/+1 par serviteur Abomination allié en rangée Avant.","Présence : Vos serviteurs en rangée Arrière gagnent +0/+1 par serviteur Abomination allié en rangée Avant.","Presence: Your Back row minions gain +0/+1 per allied Abomination minion in the Front row."
"Ceux de devant absorbent. Ceux de derrière en profitent.","Ceux de devant absorbent. Ceux de derrière en profitent.","Those in front absorb. Those behind benefit."
"Emprunt de Peau","Emprunt de Peau","Borrowed Skin"
"CHAIR ADAPTATIVE","CHAIR ADAPTATIVE","ADAPTIVE FLESH"
"Elle n'a rien à elle. Elle prend ce qui traîne à côté.","Elle n'a rien à elle. Elle prend ce qui traîne à côté.","It has nothing of its own. It takes whatever lies nearby."
"Faim Sans Fond","Faim Sans Fond","Bottomless Hunger"
"MOISSON, ASSIMILATION","MOISSON, ASSIMILATION","HARVEST, ASSIMILATION"
"Elle ne prend pas la vie. Elle l'intègre.","Elle ne prend pas la vie. Elle l'intègre.","It doesn't take life. It integrates it."
"Masse-Qui-Ne-Cesse","Masse-Qui-Ne-Cesse","The Ever-Growing Mass"
"MUTATION, REMPART","MUTATION, REMPART","MUTATION, TAUNT"
"Elle a arrêté de compter les formes qu'elle a portées.","Elle a arrêté de compter les formes qu'elle a portées.","It stopped counting the shapes it has worn."
"Halo Qui Encourage le Changement","Halo Qui Encourage le Changement","The Change-Encouraging Halo"
"Mutation : Le serviteur qui vient de muter gagne +1/+0 supplémentaire de façon permanente.","Mutation : Le serviteur qui vient de muter gagne +1/+0 supplémentaire de façon permanente.","Mutation: The minion that just mutated permanently gains an additional +1/+0."
"Chaque changement en appelle un autre, plus franc.","Chaque changement en appelle un autre, plus franc.","Each change calls forth another, bolder one."
"Cercle de l'Assemblage","Cercle de l'Assemblage","Circle of Assembly"
"Sacrifice 2 : Un allié restant aléatoire gagne +2/+2 de façon permanente.","Sacrifice 2 : Un allié restant aléatoire gagne +2/+2 de façon permanente.","Sacrifice 2: A random remaining ally permanently gains +2/+2."
"Deux corps entrent. Un seul en ressort, plus grand.","Deux corps entrent. Un seul en ressort, plus grand.","Two bodies enter. Only one comes out, bigger."
"Cercle de Dégénérescence","Cercle de Dégénérescence","Circle of Degeneration"
"Sacrifice 1 : Tous les serviteurs ennemis en rangée Avant subissent une mutation forcée : Dégénérescence.","Sacrifice 1 : Tous les serviteurs ennemis en rangée Avant subissent une mutation forcée : Dégénérescence.","Sacrifice 1: All enemy Front row minions undergo a forced Degeneration mutation."
"Ce que le cercle ne peut pas améliorer, il le corrompt.","Ce que le cercle ne peut pas améliorer, il le corrompt.","What the circle cannot improve, it corrupts."
"Vapeur Qui S'Accroche","Vapeur Qui S'Accroche","Clinging Vapor"
"Éveil : Inflige 1 dégât à un serviteur ennemi aléatoire.","Éveil : Inflige 1 dégât à un serviteur ennemi aléatoire.","Awakening: Deal 1 damage to a random enemy minion."
"On ne la voit pas. On sent juste que quelque chose continue de ronger.","On ne la voit pas. On sent juste que quelque chose continue de ronger.","You cannot see it. You can only feel something still gnawing."
"Main-Qui-Choisit","Main-Qui-Choisit","The Choosing Hand"
"Exécution : Déclenche immédiatement une mutation.","Exécution : Déclenche immédiatement une mutation.","Execution: Immediately triggers a mutation."
"Chaque mise à mort la change un peu plus.","Chaque mise à mort la change un peu plus.","Every kill changes it a little more."
"Regard Détaché","Regard Détaché","Detached Gaze"
"Il ne cligne jamais. Il n'a plus rien à protéger.","Il ne cligne jamais. Il n'a plus rien à protéger.","It never blinks. It has nothing left to protect."
"Écho des Chutes","Écho des Chutes","Echo of the Fallen"
"Dévoration : Piochez 1 carte (une seule fois par tour).","Dévoration : Piochez 1 carte (une seule fois par tour).","Devour: Draw 1 card (once per turn)."
"Chaque mort, où qu'elle soit, nourrit le cercle.","Chaque mort, où qu'elle soit, nourrit le cercle.","Every death, wherever it happens, feeds the circle."
"Ce-Qui-N'a-Plus-de-Bords","Ce-Qui-N'a-Plus-de-Bords","That-Which-Has-No-Edges"
"REMPART, INSTABLE, MUTATION","REMPART, INSTABLE, MUTATION","TAUNT, UNSTABLE, MUTATION"
"On ne sait plus où il s'arrête, ni s'il s'arrête vraiment.","On ne sait plus où il s'arrête, ni s'il s'arrête vraiment.","No one knows where it stops anymore, or if it truly does."
"Ce-Qui-Ne-Finit-Jamais-de-Grandir","Ce-Qui-Ne-Finit-Jamais-de-Grandir","That-Which-Never-Stops-Growing"
"REMPART","REMPART","TAUNT"
"Il a arrêté de compter ses formes il y a longtemps.","Il a arrêté de compter ses formes il y a longtemps.","It stopped counting its shapes long ago."
"Éclosion Sans Fin","Éclosion Sans Fin","Endless Hatching"
"Éveil : Invoque une Abomination aléatoire de coût ≤4.
Elle mute deux fois.","Éveil : Invoque une Abomination aléatoire de coût ≤4.
Elle mute deux fois.","Awakening: Summon a random Abomination of cost ≤4.
It mutates twice."
"Elle n'a pas éclos une fois. Elle éclot encore.","Elle n'a pas éclos une fois. Elle éclot encore.","It did not hatch once. It keeps hatching."
"Sursaut Final","Sursaut Final","Final Spasm"
"Ramène immédiatement en jeu le dernier serviteur Abomination allié mort.","Ramène immédiatement en jeu le dernier serviteur Abomination allié mort.","Immediately brings back into play the last allied Abomination minion that died."
"Une dernière contraction. Ça suffit parfois à repartir.","Une dernière contraction. Ça suffit parfois à repartir.","One last contraction. Sometimes that's enough to start over."
"Le Premier Écart","Le Premier Écart","The First Deviation"
"Arrivée : Tous vos serviteurs Abomination alliés mutent immédiatement.","Arrivée : Tous vos serviteurs Abomination alliés mutent immédiatement.","Arrival: All your allied Abomination minions immediately mutate."
"Tout a commencé par une simple erreur de forme. Rien ne s'est arrêté depuis.","Tout a commencé par une simple erreur de forme. Rien ne s'est arrêté depuis.","It all began with a simple error of shape. Nothing has stopped since."
"Premier Tressaut","Premier Tressaut","First Twitch"
"Un serviteur allié ciblé déclenche immédiatement une mutation.","Un serviteur allié ciblé déclenche immédiatement une mutation.","Target allied minion immediately triggers a mutation."
"Il n'a pas eu le temps de choisir. Peu importe.","Il n'a pas eu le temps de choisir. Peu importe.","It didn't have time to choose. It doesn't matter."
"Nœud de Chair","Nœud de Chair","Flesh Knot"
"Chaque coup reçu le noue un peu plus serré.","Chaque coup reçu le noue un peu plus serré.","Every blow it takes ties it a little tighter."
"Ce-Qui-Se-Souvient-Par-le-Corps","Ce-Qui-Se-Souvient-Par-le-Corps","That-Which-Remembers-Through-Flesh"
"Arrivée : Gagne +3/+3 de façon permanente.","Arrivée : Gagne +3/+3 de façon permanente.","Arrival: Permanently gains +3/+3."
"Il n'a pas de mémoire. Il a une chair qui se souvient à sa place.","Il n'a pas de mémoire. Il a une chair qui se souvient à sa place.","It has no memory. It has flesh that remembers in its place."
"Le Trieur de Chairs","Le Trieur de Chairs","The Flesh Sorter"
"Arrivée : Détruit un serviteur ennemi ayant 3 points de vie ou moins, puis mute.","Arrivée : Détruit un serviteur ennemi ayant 3 points de vie ou moins, puis mute.","Arrival: Destroy an enemy minion with 3 HP or less, then mutate."
"Il ne choisit pas ses proies. Il choisit ce qu'il veut devenir ensuite.","Il ne choisit pas ses proies. Il choisit ce qu'il veut devenir ensuite.","It doesn't choose its prey. It chooses what it wants to become next."
"Partage Forcé","Partage Forcé","Forced Sharing"
"Sacrifice 1 : Le serviteur allié adjacent absorbe ses stats restantes de façon permanente.","Sacrifice 1 : Le serviteur allié adjacent absorbe ses stats restantes de façon permanente.","Sacrifice 1: The adjacent allied minion permanently absorbs its remaining stats."
"Rien ne se perd. Tout se recompose.","Rien ne se perd. Tout se recompose.","Nothing is lost. Everything recomposes."
"Fureur Sans Forme Fixe","Fureur Sans Forme Fixe","Formless Fury"
"FRÉNÉSIE, MUTATION","FRÉNÉSIE, MUTATION","FURY, MUTATION"
"Plus il frappe, moins il ressemble à ce qu'il était en arrivant.","Plus il frappe, moins il ressemble à ce qu'il était en arrivant.","The more it strikes, the less it resembles what it was on arrival."
"Amas Informe Mutant","Amas Informe Mutant","Mutant Formless Mass"
"L'offrande revient sous une forme différente.","L'offrande revient sous une forme différente.","The offering returns in a different shape."
"Amas Informe Reformé","Amas Informe Reformé","Reformed Formless Mass"
"Il se réarrange, tout simplement.","Il se réarrange, tout simplement.","It simply rearranges itself."
"Amas Informe","Amas Informe","Formless Mass"
"Il n'a pas de nom parce qu'il n'a pas encore de forme.","Il n'a pas de nom parce qu'il n'a pas encore de forme.","It has no name because it has no shape yet."
"Étau de Chair Neuve","Étau de Chair Neuve","Fresh-Flesh Vise"
"Renvoie un serviteur ennemi ayant 3 points de vie ou moins dans la main de son propriétaire.","Renvoie un serviteur ennemi ayant 3 points de vie ou moins dans la main de son propriétaire.","Return an enemy minion with 3 HP or less to its owner's hand."
"Il revient. Mais ce n'est plus vraiment lui.","Il revient. Mais ce n'est plus vraiment lui.","It comes back. But it isn't really him anymore."
"La Grande Contamination","La Grande Contamination","The Great Contamination"
"Arrivée : Détruit tous les serviteurs ennemis en jeu.","Arrivée : Détruit tous les serviteurs ennemis en jeu.","Arrival: Destroy all enemy minions in play."
"Ce n'était pas une invasion. C'était une contamination.","Ce n'était pas une invasion. C'était une contamination.","It wasn't an invasion. It was a contamination."
"Le Sculpteur Sans Mains","Le Sculpteur Sans Mains","The Handless Sculptor"
"Arrivée : Un serviteur allié ciblé gagne MUTATION de façon permanente.","Arrivée : Un serviteur allié ciblé gagne MUTATION de façon permanente.","Arrival: Target allied minion permanently gains MUTATION."
"""La forme n'est qu'une suggestion. Je préfère négocier.""","""La forme n'est qu'une suggestion. Je préfère négocier.""","""Shape is only a suggestion. I prefer to negotiate."""
"Peau-Trop-Grande","Peau-Trop-Grande","Skin-Too-Large"
"REMPART, INSTABLE","REMPART, INSTABLE","TAUNT, UNSTABLE"
"Elle flotte autour de ce qu'elle contient, comme si elle attendait encore d'être remplie.","Elle flotte autour de ce qu'elle contient, comme si elle attendait encore d'être remplie.","It hangs loose around what it holds, as if still waiting to be filled."
"Emprunt Instantané","Emprunt Instantané","Instant Borrowing"
"Un serviteur allié ciblé copie un mot-clé présent sur un autre serviteur en jeu tiré au hasard (allié ou ennemi).","Un serviteur allié ciblé copie un mot-clé présent sur un autre serviteur en jeu tiré au hasard (allié ou ennemi).","Target allied minion copies a keyword found on a randomly drawn other minion in play (allied or enemy)."
"Il n'a rien inventé. Il a juste regardé, et pris.","Il n'a rien inventé. Il a juste regardé, et pris.","It invented nothing. It just watched, and took."
"Semeur de Nœuds","Semeur de Nœuds","Knot Sower"
"FUSION
Attaque : Invoque un Amas Informe 1/2 en rangée Avant.","FUSION
Attaque : Invoque un Amas Informe 1/2 en rangée Avant.","FUSION
Attack: Summon a Formless Mass 1/2 in the Front row."
"Il ne construit rien. Il fait pousser.","Il ne construit rien. Il fait pousser.","It builds nothing. It grows things."
"Fracture Vivante","Fracture Vivante","Living Fracture"
"Détruit un enchantement ennemi aléatoire.
Un serviteur Abomination allié aléatoire mute immédiatement.","Détruit un enchantement ennemi aléatoire.
Un serviteur Abomination allié aléatoire mute immédiatement.","Destroy a random enemy enchantment.
A random allied Abomination minion immediately mutates."
"La corruption ne respecte pas la magie. Elle la digère aussi.","La corruption ne respecte pas la magie. Elle la digère aussi.","Corruption has no respect for magic. It digests that too."
"Repaire Qui Digère la Magie","Repaire Qui Digère la Magie","The Magic-Digesting Lair"
"Présence : Les sorts alliés coûtent 1 de moins (min 1).","Présence : Les sorts alliés coûtent 1 de moins (min 1).","Presence: Allied spells cost 1 less (min 1)."
"Dans ses murs, tout se transforme un peu plus vite, même les sorts.","Dans ses murs, tout se transforme un peu plus vite, même les sorts.","Within its walls, everything changes a little faster, even spells."
"Ombre à Plusieurs Corps","Ombre à Plusieurs Corps","Shadow of Many Bodies"
"AILES NOIRES, FUSION","AILES NOIRES, FUSION","BLACK WINGS, FUSION"
"Elle n'a jamais eu qu'un seul visage à la fois. Elle en emprunte un nouveau à chaque cible.","Elle n'a jamais eu qu'un seul visage à la fois. Elle en emprunte un nouveau à chaque cible.","It has only ever had one face at a time. It borrows a new one from every target."
"Armure Fondue","Armure Fondue","Molten Armor"
"MUTATION, INSTABLE","MUTATION, INSTABLE","MUTATION, UNSTABLE"
"Le métal a fusionné avec ce qu'il était censé protéger. Impossible de dire où l'un finit et l'autre commence.","Le métal a fusionné avec ce qu'il était censé protéger. Impossible de dire où l'un finit et l'autre commence.","The metal fused with what it was supposed to protect. Impossible to tell where one ends and the other begins."
"Bouche-Mère","Bouche-Mère","Mother Maw"
"Elle ne distingue pas allié et ennemi. Seulement mort et pas-encore-mort.","Elle ne distingue pas allié et ennemi. Seulement mort et pas-encore-mort.","It makes no distinction between ally and enemy. Only dead and not-yet-dead."
"Monture-et-Cavalier-Ne-Font-Qu'Un","Monture-et-Cavalier-Ne-Font-Qu'Un","Mount-and-Rider-Made-One"
"ASSAUT
Arrivée : Attaque immédiatement le serviteur ennemi le plus faible en points de vie, puis mute.","ASSAUT
Arrivée : Attaque immédiatement le serviteur ennemi le plus faible en points de vie, puis mute.","CHARGE
Arrival: Immediately attacks the enemy minion with the lowest HP, then mutates."
"On ne sait plus lequel des deux dirige encore l'autre.","On ne sait plus lequel des deux dirige encore l'autre.","No one knows anymore which of the two still leads the other."
"Pluie Qui Change","Pluie Qui Change","Changing Rain"
"Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.
Les survivants ont -1 ATK jusqu'à la fin du tour.","Inflige 1 dégât à tous les serviteurs ennemis en rangée Avant.
Les survivants ont -1 ATK jusqu'à la fin du tour.","Deal 1 damage to all enemy Front row minions.
Survivors have -1 ATK until end of turn."
"L'air lui-même devient hostile en son sillage.","L'air lui-même devient hostile en son sillage.","The very air turns hostile in its wake."
"Doigt-Dans-les-Nerfs","Doigt-Dans-les-Nerfs","Finger in the Nerves"
"Arrivée : Réduit l'ATK d'un serviteur ennemi ciblé de 1 jusqu'à la fin du prochain tour adverse.","Arrivée : Réduit l'ATK d'un serviteur ennemi ciblé de 1 jusqu'à la fin du prochain tour adverse.","Arrival: Reduces target enemy minion's ATK by 1 until the end of its next turn."
"Un seul contact suffit à dérégler ce qui reste de coordination.","Un seul contact suffit à dérégler ce qui reste de coordination.","A single touch is enough to unravel what coordination remains."
"Un-Devenu-Plusieurs","Un-Devenu-Plusieurs","One-Become-Many"
"Arrivée : Invoque 2 Amas Informes 1/2 en rangée Avant.","Arrivée : Invoque 2 Amas Informes 1/2 en rangée Avant.","Arrival: Summon 2 Formless Masses 1/2 in the Front row."
"Il n'a jamais compris qu'il était censé rester seul.","Il n'a jamais compris qu'il était censé rester seul.","It never understood it was supposed to stay alone."
"Nid Débordant","Nid Débordant","Overflowing Nest"
"Renfort : Si 3 Abominations alliées ou plus sont en jeu, invoque un Amas Informe 1/2 (une seule fois par tour).","Renfort : Si 3 Abominations alliées ou plus sont en jeu, invoque un Amas Informe 1/2 (une seule fois par tour).","Reinforcement: If 3 or more allied Abominations are in play, summon a Formless Mass 1/2 (once per turn)."
"Plus il se remplit, plus il en sort.","Plus il se remplit, plus il en sort.","The fuller it gets, the more comes out of it."
"Ce-Qui-A-Trop-Poussé","Ce-Qui-A-Trop-Poussé","That-Which-Grew-Too-Much"
"On l'a vu changer trois fois dans la même bataille.","On l'a vu changer trois fois dans la même bataille.","It was seen changing three times in the same battle."
"Accord de la Chair Neuve","Accord de la Chair Neuve","Pact of Fresh Flesh"
"Sacrifice 1 (≤2 points de vie) : Invoque un Amas Informe 2/2 doté de MUTATION.","Sacrifice 1 (≤2 points de vie) : Invoque un Amas Informe 2/2 doté de MUTATION.","Sacrifice 1 (≤2 HP): Summon a Formless Mass 2/2 with MUTATION."
"Chaque offrande revient sous une forme différente.","Chaque offrande revient sous une forme différente.","Every offering returns in a different shape."
"Grand Retour Sous une Autre Forme","Grand Retour Sous une Autre Forme","Great Return in Another Form"
"Deuil : Ramène en main le serviteur Abomination allié le plus récemment mort.","Deuil : Ramène en main le serviteur Abomination allié le plus récemment mort.","Mourning: Returns the most recently died allied Abomination minion to your hand."
"""Je ne les rappelle pas. Je les laisse simplement finir de devenir autre chose.""","""Je ne les rappelle pas. Je les laisse simplement finir de devenir autre chose.""","""I don't call them back. I simply let them finish becoming something else."""
"Rituel de la Chair Qui Recoud","Rituel de la Chair Qui Recoud","Flesh-Mending Ritual"
"Éveil : Un serviteur Abomination allié aléatoire restaure 2 points de vie.","Éveil : Un serviteur Abomination allié aléatoire restaure 2 points de vie.","Awakening: A random allied Abomination minion restores 2 HP."
"La chair se répare mal. Elle se répare quand même.","La chair se répare mal. Elle se répare quand même.","Flesh heals poorly. It heals anyway."
"Rituel de la Forme Jamais Fixée","Rituel de la Forme Jamais Fixée","Ever-Shifting Ritual"
"Éveil : Un serviteur Abomination allié aléatoire mute immédiatement.","Éveil : Un serviteur Abomination allié aléatoire mute immédiatement.","Awakening: A random allied Abomination minion immediately mutates."
"Le cercle ne s'arrête jamais de proposer de nouvelles formes.","Le cercle ne s'arrête jamais de proposer de nouvelles formes.","The circle never stops offering new shapes."
"Sommeil Qui Ronge","Sommeil Qui Ronge","Rotting Slumber"
"Gèle un serviteur ennemi ciblé un tour.
À la fin du gel, il subit une mutation forcée : Dégénérescence.","Gèle un serviteur ennemi ciblé un tour.
À la fin du gel, il subit une mutation forcée : Dégénérescence.","Freezes target enemy minion for one turn.
When the freeze ends, it undergoes a forced Degeneration mutation."
"Le froid ne le tue pas. Il le laisse simplement pourrir sur place.","Le froid ne le tue pas. Il le laisse simplement pourrir sur place.","The cold doesn't kill it. It simply lets it rot in place."
"Second Regard","Second Regard","Second Gaze"
"CHAIR ADAPTATIVE
Arrivée : Piochez 1 carte.","CHAIR ADAPTATIVE
Arrivée : Piochez 1 carte.","ADAPTIVE FLESH
Arrival: Draw 1 card."
"Il voit ce que les autres pourraient devenir, avant qu'ils ne le sachent eux-mêmes.","Il voit ce que les autres pourraient devenir, avant qu'ils ne le sachent eux-mêmes.","It sees what others might become, before they know it themselves."
"Effigie Née d'Elle-Même","Effigie Née d'Elle-Même","Self-Born Effigy"
"Résonance : Le serviteur Abomination attaquant inflige 1 dégât splash aux serviteurs adjacents à la cible.","Résonance : Le serviteur Abomination attaquant inflige 1 dégât splash aux serviteurs adjacents à la cible.","Resonance: The attacking Abomination minion deals 1 splash damage to minions adjacent to the target."
"On ne l'a pas sculptée. Elle a poussé, un jour, et personne ne l'a arrêtée.","On ne l'a pas sculptée. Elle a poussé, un jour, et personne ne l'a arrêtée.","It wasn't sculpted. It grew, one day, and no one stopped it."
"Ce-Qui-Se-Partage","Ce-Qui-Se-Partage","That-Which-Shares-Itself"
"Dernier Souffle : Le serviteur allié adjacent gagne +1/+1 permanent.","Dernier Souffle : Le serviteur allié adjacent gagne +1/+1 permanent.","Deathrattle: The adjacent allied minion permanently gains +1/+1."
"Il ne meurt pas vraiment. Il se répartit ailleurs.","Il ne meurt pas vraiment. Il se répartit ailleurs.","It doesn't really die. It distributes itself elsewhere."
"Chuchotement Qui Change la Forme","Chuchotement Qui Change la Forme","Whisper That Changes Shape"
"Présence : La première Abomination jouée chaque tour coûte 1 de moins (min 1).","Présence : La première Abomination jouée chaque tour coûte 1 de moins (min 1).","Presence: The first Abomination played each turn costs 1 less (min 1)."
"On ne l'entend pas. On sent juste que quelque chose a déjà commencé à changer.","On ne l'entend pas. On sent juste que quelque chose a déjà commencé à changer.","You can't hear it. You can only feel that something has already begun to change."
"Vase Brisé, Encore Plein","Vase Brisé, Encore Plein","Broken Vessel, Still Full"
"ASSAUT, VENIN MORTEL
Dernier Souffle : Se reforme en Amas Informe 2/2 sous votre contrôle (ne va pas au cimetière).","ASSAUT, VENIN MORTEL
Dernier Souffle : Se reforme en Amas Informe 2/2 sous votre contrôle (ne va pas au cimetière).","CHARGE, DEADLY POISON
Deathrattle: Reforms into a Formless Mass 2/2 under your control (does not go to the graveyard)."
"Il ne meurt jamais tout à fait. Il se réarrange.","Il ne meurt jamais tout à fait. Il se réarrange.","It never quite dies. It rearranges itself."
"Poussière Qui Change","Poussière Qui Change","Changing Dust"
"VIRULENT
Arrivée : Inflige 1 dégât à tous les serviteurs ennemis en jeu.","VIRULENT
Arrivée : Inflige 1 dégât à tous les serviteurs ennemis en jeu.","VIRULENT
Arrival: Deal 1 damage to all enemy minions in play."
"Là où elle se dépose, quelque chose commence toujours à changer.","Là où elle se dépose, quelque chose commence toujours à changer.","Wherever it settles, something always begins to change."
"Rituel de l'Œil Sans Sommeil","Rituel de l'Œil Sans Sommeil","Sleepless Eye Ritual"
"Sortilège ennemi : Annulé s'il cible un de vos Abominations.","Sortilège ennemi : Annulé s'il cible un de vos Abominations.","Enemy spell: Cancelled if it targets one of your Abominations."
"Il ne dort jamais. Il voit venir la magie adverse avant qu'elle n'arrive.","Il ne dort jamais. Il voit venir la magie adverse avant qu'elle n'arrive.","It never sleeps. It sees enemy magic coming before it arrives."
"Lente Altération","Lente Altération","Slow Alteration"
"Éveil : Les serviteurs ennemis -1/-1 de façon permanente.","Éveil : Les serviteurs ennemis -1/-1 de façon permanente.","Awakening: Enemy minions -1/-1 permanently."
"Elle ne prépare pas une invasion. Elle prépare une transformation.","Elle ne prépare pas une invasion. Elle prépare une transformation.","It isn't preparing an invasion. It's preparing a transformation."
"Chant Qui Déforme","Chant Qui Déforme","Song of Distortion"
"Abominations alliées +1/+0 ce tour.
Si 5 ou plus en jeu : Elles mutent aussi immédiatement.","Abominations alliées +1/+0 ce tour.
Si 5 ou plus en jeu : Elles mutent aussi immédiatement.","Allied Abominations +1/+0 this turn.
If 5 or more are in play: They also immediately mutate."
"Un seul chant, mille chairs qui répondent en changeant de forme.","Un seul chant, mille chairs qui répondent en changeant de forme.","A single song, a thousand flesh answering by changing shape."
"Appétit Ciblé","Appétit Ciblé","Target Appetite"
"Détruit un serviteur ennemi ayant 2 points de vie ou moins.
Un serviteur Abomination allié aléatoire gagne +1/+1 permanent.","Détruit un serviteur ennemi ayant 2 points de vie ou moins.
Un serviteur Abomination allié aléatoire gagne +1/+1 permanent.","Destroy an enemy minion with 2 HP or less.
A random allied Abomination minion permanently gains +1/+1."
"Rien ne se jette. Tout se digère.","Rien ne se jette. Tout se digère.","Nothing is discarded. Everything is digested."
"L'Éternel Recommencement","L'Éternel Recommencement","The Eternal Beginning"
"Éveil : Invoque une Abomination aléatoire de coût ≤3 en rangée Avant.
Elle mute immédiatement.","Éveil : Invoque une Abomination aléatoire de coût ≤3 en rangée Avant.
Elle mute immédiatement.","Awakening: Summon a random Abomination of cost ≤3 in the Front row.
It immediately mutates."
"Il ne se soigne plus. Il se réinvente, sans fin.","Il ne se soigne plus. Il se réinvente, sans fin.","It no longer heals. It reinvents itself, endlessly."
"L'Innommable","L'Innommable","The Nameless"
"Arrivée : Choisissez un serviteur ennemi ciblé, il devient une copie exacte (stats et mots-clés) sous votre contrôle jusqu'à la fin de la partie.","Arrivée : Choisissez un serviteur ennemi ciblé, il devient une copie exacte (stats et mots-clés) sous votre contrôle jusqu'à la fin de la partie.","Arrival: Choose target enemy minion, it becomes an exact copy (stats and keywords) under your control until the end of the game."
"Il n'a pas de visage. Il porte le tien, à présent.","Il n'a pas de visage. Il porte le tien, à présent.","It has no face. It wears yours, now."
"Rituel du Fil Sous la Peau","Rituel du Fil Sous la Peau","Underskin Thread Ritual"
"Deuil : Un serviteur Abomination allié aléatoire mute immédiatement.","Deuil : Un serviteur Abomination allié aléatoire mute immédiatement.","Mourning: A random allied Abomination minion immediately mutates."
"Un fil invisible relie chaque chair à sa voisine. Il tire fort, à chaque rupture.","Un fil invisible relie chaque chair à sa voisine. Il tire fort, à chaque rupture.","An invisible thread links every flesh to its neighbor. It pulls hard, with every rupture."
"Locataire Sans Bail","Locataire Sans Bail","Uninvited Tenant"
"Il ne demande jamais la permission de s'installer dans un autre corps.","Il ne demande jamais la permission de s'installer dans un autre corps.","It never asks permission before settling into another body."
